specObjID,bestObjID,plate,mjd,fiberID,z,survey,class,subClass,ra,dec,z1,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,dered_u,dered_g,dered_r,dered_i,dered_z
1.351242E+18,1237657775007334561,1200,52668,588,0.06453554,sdss,GALAXY,BROADLINE,138.1846,41.61027,0.06453554,20.36935,18.36677,17.48426,17.04493,16.79139,0.09561045,0.07449902,0.05153808,0.03829832,0.02848691,19.4308,17.29606,16.44723,16.01345,15.72962
4.606258E+18,1237669697295286785,4091,55498,732,0.101121,boss,GALAXY,BROADLINE,326.8795,5.405903,0.101121,21.10553,19.40151,18.52815,18.1723,17.66855,0.298803,0.2328252,0.1610674,0.1196904,0.08902764,18.97898,17.15259,16.28426,15.84339,15.47863
8.158471E+18,1237679504328294808,7246,56625,729,0.7431849,boss,GALAXY,BROADLINE,22.88644,19.64051,0.7431849,22.00335,22.23996,21.6448,21.06109,20.8847,0.2056484,0.1602398,0.1108532,0.08237579,0.06127246,21.79221,21.9676,21.3053,20.77635,20.45973
8.811439E+18,1237678889063940493,7826,56931,533,0.7837349,eboss,GALAXY,BROADLINE,39.83749,-2.419143,0.7837349,24.13423,23.29164,22.20709,21.10372,20.27007,0.1331189,0.1037253,0.07175671,0.05332293,0.03966246,24.07143,22.80422,21.49399,20.41994,19.72246
6.350761E+17,1237654604776014113,564,52224,249,0.05006072,sdss,GALAXY,BROADLINE,130.6756,2.441761,0.05006072,20.4276,18.83612,18.25419,17.91037,17.64379,0.1770365,0.1379457,0.09543016,0.07091483,0.05274761,19.25527,17.62281,16.97245,16.61754,16.42082
1.55727E+18,1237662307266199745,1383,53116,546,0.1278325,sdss,GALAXY,BROADLINE,223.0106,36.29905,0.1278325,21.30439,19.46939,18.40529,18.00244,17.68589,0.04865862,0.03791447,0.02622906,0.019491,0.01449772,20.2015,18.34849,17.34484,16.89441,16.56673
1.771213E+18,1237661463308337397,1573,53226,627,0.06254344,sdss,GALAXY,BROADLINE,248.0298,25.02508,0.06254344,19.78903,17.98737,17.32623,17.02385,16.66696,0.1697568,0.1322734,0.09150612,0.06799885,0.05057865,18.44056,16.67505,15.98615,15.66287,15.42754
1.933311E+18,1237661950272471286,1717,53883,513,0.04413268,sdss,GALAXY,BROADLINE,226.6506,9.649488,0.04413268,19.76853,17.80706,17.02825,16.73156,16.28024,0.1442998,0.1124375,0.07778371,0.05780163,0.0429938,16.83616,14.9187,14.07711,13.67721,13.38719
1.935473E+18,1237662198820634752,1719,53876,184,0.03363448,sdss,GALAXY,BROADLINE,228.1326,8.857246,0.03363448,19.637,17.89995,17.1054,16.53095,15.99123,0.1402963,0.1093179,0.07562564,0.05619796,0.04180095,17.40782,15.43578,14.51952,14.04778,13.63088
2.638078E+18,1237667293731225734,2343,53735,343,0.2812045,sdss,GALAXY,BROADLINE,150.4863,23.66685,0.2812045,21.47384,19.73568,18.49889,18.10185,17.81714,0.1319365,0.102804,0.07111937,0.05284931,0.03931018,20.66371,18.91591,17.73656,17.29158,16.98429
2.967937E+18,1237663783139213446,2636,54082,235,0.09479018,sdss,GALAXY,BROADLINE,35.54986,-0.6429081,0.09479018,20.587,18.74462,17.95125,17.56157,17.06299,0.1455592,0.1134188,0.07846257,0.0583061,0.04336903,19.14289,17.31776,16.40569,16.00854,15.64377
2.970189E+18,1237657586030412478,2638,54095,238,0.4817069,sdss,GALAXY,BROADLINE,55.00817,-0.1180215,0.4817069,24.72635,22.90046,21.55378,20.59969,19.9416,0.3001721,0.2338921,0.1618055,0.1202388,0.08943557,24.97809,22.08351,20.38598,19.46979,18.83959
2.570505E+18,1237667293187080393,2283,53729,273,0.05397261,sdss,GALAXY,BROADLINE,133.6567,18.13711,0.05397261,20.09534,17.83044,16.95593,16.54533,16.10384,0.08942159,0.0696767,0.04820202,0.03581927,0.02664295,17.94221,16.02625,15.10358,14.6298,14.25748
4.206425E+18,1237663783131218064,3736,55214,228,0.04525089,boss,GALAXY,BROADLINE,17.21869,-0.6553717,0.04525089,19.90886,17.90969,17.04115,16.5718,16.04222,0.1441894,0.1123514,0.07772417,0.05775739,0.04296089,17.94146,15.9985,15.0509,14.57608,14.22318
4.83146E+18,1237678777395249757,4291,55525,811,0.3035332,boss,GALAXY,BROADLINE,339.1204,4.464383,0.3035332,23.02927,21.19766,19.63043,19.06172,18.44518,0.3577463,0.2787535,0.1928404,0.1433011,0.1065897,21.21019,19.60526,18.1019,17.47063,17.01255
5.064464E+18,1237667254527656683,4498,55615,605,0.6119237,boss,GALAXY,BROADLINE,123.9999,15.95965,0.6119237,22.40292,21.73684,20.7319,20.00634,19.74016,0.1336552,0.1041432,0.0720458,0.05353775,0.03982225,21.60332,20.89263,19.87834,19.11644,18.95982
2.931944E+18,1237668625702191305,2604,54484,367,0.1185398,sdss,GALAXY,BROADLINE,198.0038,18.21177,0.1185398,21.11595,19.16789,18.20291,17.70744,17.26958,0.09044684,0.07047556,0.04875467,0.03622995,0.02694842,18.97372,17.24498,16.29294,15.85655,15.51804
6.892765E+18,1237672815977169730,6122,56246,19,0.5783052,boss,GALAXY,BROADLINE,348.5129,19.7571,0.5783052,24.97974,23.62969,21.52282,20.28713,19.7047,0.8129728,0.6334629,0.4382267,0.3256494,0.2422233,23.53589,21.7625,19.84353,18.73954,18.29741
9.418234E+18,1237662195592856582,8365,57450,295,0.9446861,eboss,GALAXY,BROADLINE,162.2703,40.95516,0.9446861,23.03827,23.55099,23.01216,21.77694,20.70125,0.06584878,0.05130893,0.03549528,0.0263768,0.01961949,22.54608,22.65809,21.94858,20.84544,19.80623
3.47999E+17,1237648704594379145,309,51994,349,0.06399041,sdss,GALAXY,BROADLINE,222.898,0.09789123,0.06399041,20.82027,19.16423,18.38609,18.01895,17.68606,0.1836129,0.1430699,0.09897512,0.07354912,0.05470704,19.12026,17.45757,16.67476,16.29907,15.99103
1.612392E+18,1237661849850347731,1432,53003,377,0.343627,sdss,GALAXY,BROADLINE,159.0116,41.04579,0.343627,23.28565,21.28475,19.55037,18.92305,18.62959,0.05021471,0.03912696,0.02706785,0.02011432,0.01496136,22.58297,20.41033,18.66359,18.06232,17.75827
2.522034E+18,1237667443511787541,2240,53823,68,0.01886249,sdss,GALAXY,BROADLINE,194.8071,27.40257,0.01886249,18.65007,16.84263,16.15123,15.79,15.37766,0.03349733,0.02610089,0.01805647,0.0134179,0.009980449,16.99237,15.15746,14.36229,13.97724,13.67691
3.323763E+18,1237651821641203893,2952,54559,389,0.1273873,sdss,GALAXY,BROADLINE,228.6403,2.957841,0.1273873,19.87726,18.12855,17.32198,17.03408,16.74614,0.1883975,0.1467981,0.1015542,0.07546568,0.0561326,19.331,17.47758,16.73294,16.45332,16.17193
1.056226E+19,1237678437016273326,9381,58073,689,0.73936,eboss,GALAXY,BROADLINE,39.40423,1.107114,0.73936,23.43294,22.47143,21.76595,21.01183,20.35516,0.1297359,0.1010894,0.06993315,0.05196783,0.03865452,22.89991,22.09185,21.27437,20.54336,19.97887
4.334791E+18,1237648704581534440,3850,55575,277,0.6539829,boss,GALAXY,BROADLINE,193.618,0.1231854,0.6539829,24.0677,23.15458,21.81153,20.60234,20.07672,0.0936601,0.07297932,0.05048675,0.03751707,0.02790581,22.33491,21.90057,20.36147,19.21036,18.80869
