specObjID,bestObjID,plate,mjd,fiberID,z,survey,class,subClass,ra,dec,z1,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,dered_u,dered_g,dered_r,dered_i,dered_z
4.245718E+17,1237663543149658364,377,52145,391,0.1276874,sdss,GALAXY,AGN BROADLINE,338.4154,-0.1109451,0.1276874,21.46609,19.67921,18.83508,18.08934,17.72548,0.2399638,0.1869782,0.1293506,0.09612139,0.07149666,19.26833,17.42052,16.4132,15.86865,15.50839
4.887453E+17,1237651496830173370,434,51885,381,0.1816895,sdss,GALAXY,AGN BROADLINE,116.6937,43.2163,0.1816895,23.19737,19.95794,18.76126,18.15078,17.6888,0.198947,0.1550181,0.1072408,0.07969142,0.05927578,21.47373,18.12487,16.8217,16.23704,15.88704
5.732414E+17,1237651754541777047,509,52374,576,0.1076762,sdss,GALAXY,AGN BROADLINE,167.6765,3.009384,0.1076762,20.85332,19.01527,17.976,17.51588,17.20762,0.1664591,0.1297038,0.08972849,0.06667788,0.04959609,19.53545,17.69193,16.72106,16.27145,15.93907
5.753429E+17,1237651754006544487,511,52636,29,0.04930323,sdss,GALAXY,AGN BROADLINE,171.3215,2.446913,0.04930323,19.83605,17.81622,17.05656,16.61401,16.19273,0.1334548,0.103987,0.07193775,0.05345746,0.03976253,17.67133,15.76568,14.91287,14.48145,14.15547
6.002523E+17,1237651821097779392,533,51994,537,0.02527736,sdss,GALAXY,AGN BROADLINE,213.7139,3.130926,0.02527736,18.06543,16.29649,15.49184,15.16715,14.72226,0.1422193,0.1108163,0.07666221,0.05696824,0.0423739,15.52954,13.68095,12.80557,12.43291,12.16408
6.103843E+17,1237654391638065608,542,51993,533,0.1081577,sdss,GALAXY,AGN BROADLINE,116.1964,36.24454,0.1081577,21.31113,19.66997,18.68946,18.11075,17.64674,0.3805585,0.2965286,0.2051371,0.1524388,0.1133865,19.55833,17.93035,17.08714,16.62023,16.2606
7.161513E+17,1237652933494309360,636,52176,287,0.1444505,sdss,GALAXY,AGN BROADLINE,312.8581,-7.398586,0.1444505,21.35941,19.65313,18.64013,18.18726,17.92585,0.2656851,0.20702,0.1432155,0.1064245,0.07916024,20.10767,18.38991,17.44798,17.04276,16.78878
7.555636E+17,1237663783675691169,671,52206,308,0.271073,sdss,GALAXY,AGN BROADLINE,34.59111,-0.2754388,0.271073,22.99611,21.11202,19.84458,19.25834,18.90762,0.1424242,0.110976,0.07677265,0.05705031,0.04243495,21.98808,19.99715,18.59496,18.01293,17.71708
8.085694E+17,1237680240901816439,718,52206,630,0.05370274,sdss,GALAXY,AGN BROADLINE,333.0146,-7.578942,0.05370274,19.2997,17.58046,16.74831,16.22123,16.03861,0.2558366,0.1993461,0.1379067,0.1024795,0.07622591,16.44322,14.77287,14.00184,13.59773,13.32741
7.656203E+17,1237663783120077039,680,52200,30,0.09899741,sdss,GALAXY,AGN BROADLINE,351.7946,-0.6993971,0.09899741,20.32438,18.87987,18.1123,17.66136,17.2072,0.1834625,0.1429527,0.09889403,0.07348887,0.05466221,18.66265,16.96062,16.01312,15.55646,15.23719
