,Unnamed: 0,source_id,has_epoch_photometry,has_epoch_rv,has_epoch_rv.1,has_mcmc_gspphot,has_mcmc_msc,has_rvs,has_xp_continuous,has_xp_sampled,ra,dec,abp_gspphot,ag_esphs,ag_gspphot,age_flame,alphafe_gspspec,arp_gspphot,b,bp_g,bp_rp,cafe_gspspec,cefe_gspspec,classlabel_espels,crfe_gspspec,distance_gspphot,ebpminrp_esphs,ebpminrp_gspphot,ecl_lat,ecl_lon,evolstage_flame,feiim_gspspec,fem_gspspec,g_rp,gravredshift_flame,l,logg_esphs,logg_gspphot,logg_gspspec,lum_flame,mass_flame,mg_gspphot,mgfe_gspspec,mh_gspphot,mh_gspspec,ndfe_gspspec,nfe_gspspec,nife_gspspec,parallax,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,pm,pmdec,pmra,pseudocolour,radial_velocity,radius_flame,radius_gspphot,sfe_gspspec,sife_gspspec,spectraltype_esphs,teff_esphs,teff_espucd,teff_gspphot,teff_gspspec,tife_gspspec,vsini_esphs,zrfe_gspspec,SpT2,SpT2_dereddened,Star_Type,evolstage_type
2390174,46587,442158984682736000,False,False,False,False,True,False,True,True,53.94579730466791,51.43591653466432,,,,,0.06,,-3.533501002372882,1.9510374,3.2378569,0.06,,,,,,,31.125590108758203,64.6213402191579,0.0,,-0.2,1.2868195,,147.1662203839927,,,0.86,,,,,,-0.68,,,,0.9477068945187954,13.311208,11.36017,10.073351,6.3309517,-2.956083824512771,-5.598438630702495,,-1.1176246,,,,-0.18,CSTAR,,,,4091.0,0.06,,,M4.5V,O3V,null,NA                                                
2397995,54408,442413452906247936,False,False,False,False,True,False,True,True,53.30143536278764,51.829303511600415,,,,,,,-3.4465121297258743,1.9378605,3.231904,,,,,,,,31.614170655568564,64.29845409522048,0.0,,,1.2940435,,146.61098234051246,,,1.5,,,,,,-0.99,,,,0.1203766315413014,15.273686,13.335826,12.041782,1.597382,0.6997294833891258,-1.4359692089549083,,-106.18899,,,,,CSTAR,,,,4250.0,,,,M4.5V,O3V,null,NA                                                
2398408,54821,442427231161720576,True,False,False,False,True,False,True,True,53.11292015898348,51.94607211358415,,,,,,,-3.4183243537424923,2.8484259,4.291049,,,,,,,,31.758844853548585,64.20560636510265,0.0,,,1.4426231,,146.44827670309036,,,1.5,,,,,,-0.38,,,,0.1344628114942523,15.81326,12.964834,11.522211,0.38418987,0.3749176477333237,0.0838964181276547,,-39.062096,,,,,CSTAR,,,,4250.0,,,,M6V,O3V,null,NA                                                
2396094,52507,442347688367345024,False,False,False,False,True,False,True,True,53.99143876207192,51.560355803232014,,,,,,,-3.4160309472294954,1.9563789,3.2534542,,,,,,,,31.237513935929147,64.69306627623601,0.0,,,1.2970753,,147.1161959488834,,,1.5,,,,,,-0.54,,,,0.2674286718779438,15.67569,13.719311,12.4222355,2.259489,-0.8783998779052055,2.081755265860492,,-33.292244,,,,,CSTAR,,,,4250.0,,,,M4.5V,O3V,null,NA                                                
2398138,54551,442417988391596288,False,False,False,True,True,False,True,True,53.59468415618958,51.92448991364387,5.2828,,3.8255,0.27072993,,3.165,-3.263965263229388,1.9076891,3.1983242,,,,,2227.095,,2.1178,31.655226218821053,64.53379756937932,592.0,,,1.2906351,0.10235592,146.70340013019924,,2.3839,,174.38748,3.3999803,-0.8059,,-0.1921,,,,,0.1299848137163948,16.652931,14.745242,13.454607,0.31786093,-0.2639746997738446,0.1770675649945533,,-70.28077,18.371225,18.2457,,,CSTAR,,,4896.5547,,,,,M4.5V,K1V,red_clump,(490-860) base of the red giant brach (RGB)       
2390602,47015,442176817387067264,False,False,False,True,True,False,True,True,54.66841150511797,51.67935094548732,4.5221,,3.2804,0.29240292,,2.7415,-3.071860845768554,1.8151026,3.0755167,,,,,3419.2664,,1.7807,31.23802394284368,65.20396987455041,518.0,,,1.2604141,0.05646763,147.38564653025026,,1.925,,154.86958,3.3023949,-1.2628,,0.1111,,,,,0.3591368844063092,16.440575,14.625472,13.365058,3.3190637,-1.144494035873561,3.1154961614151606,,-20.2379,20.973272,29.4509,,,CSTAR,,,4461.4893,,,,,M4V,K3V,red_giants,(490-860) base of the red giant brach (RGB)       
2389395,45808,442122082324440064,True,False,False,False,True,False,True,True,55.136711339967206,51.50583910283122,7.7059,,5.335,,,4.6288,-3.037430651422096,2.9116163,4.347952,,,,,1127.4928,,3.0783,30.993098120265856,65.47729884936007,0.0,,,1.4363356,,147.72311416437378,,0.6311,,,,-2.9247,,-1.3911,,,,,0.4834787429496211,15.538916,12.627299,11.190964,1.0857178,-0.7227068524706082,-0.8102332898103158,,-82.66853,,76.0382,,,CSTAR,,,4270.6562,,,,,M6V,K3V,red_giants,NA                                                
2399023,55436,442447469048021632,False,False,False,False,True,False,True,True,54.00671417227617,52.25865580838551,,,,,,,-2.844865425455445,1.8331289,3.1062765,,,,,,,,31.90641674196901,64.92863789410389,0.0,,,1.2731476,,146.71374594646275,,,1.5,,,,,,-0.34,,,,0.2565870788622005,15.407823,13.574694,12.301546,0.08183416,0.050415529716222,0.064460094692229,1.2041527,-36.24586,,,,,CSTAR,,,,4250.0,,,,M4V,O3V,null,NA                                                
2399026,55439,442447572127229440,True,False,False,True,True,False,True,True,54.02376800988253,52.29342114071744,7.8055,,5.4048,,,4.7307,-2.810586282229084,2.9942274,4.471633,,,,,1520.3402,,3.0743,31.93696474053933,64.95173512220937,1428.0,,,1.4774055,0.063046016,146.70179623952717,,1.3762,1.5,596.5108,,-3.0161,,0.374,-1.0,,,,0.3639287450156338,16.236849,13.242621,11.765216,0.59186184,0.3467430437826266,-0.4796558017313395,1.1198593,-85.87788,44.466938,79.0063,,,CSTAR,,,4166.565,4250.0,,,,M6V,K4V,red_giants,(1290-1390) tip the RGB                           
2399188,55601,442453000964587392,False,False,False,False,True,False,True,True,54.2087341871297,52.31674353130728,,,,,,,-2.7252605484525843,1.8564844,3.1328611,,,,,,,,31.92831826908781,65.08742300281578,0.0,,,1.2763767,,146.77969967787035,,,1.5,,,,,,-0.72,,,,0.1854243660161699,15.007568,13.151084,11.874707,0.113512754,-0.0158977560350641,0.1123939770300411,,-67.51476,,,,,CSTAR,,,,4250.0,,,,M4V,O3V,null,NA                                                
